resource_id	category	status	declared_license	declared_tier	inferred_license	inferred_tier	inferred_from	unresolved_sources
eu-knowledge-graph	KnowledgeGraph	no-upstream						
eurio	KnowledgeGraph	no-upstream						
evoweb	KnowledgeGraph	no-upstream						
expressionatlas	Aggregator	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
fiokg	KnowledgeGraph	inferred			US federal government public domain	public domain	epa-frs|sawgraph	
forum	KnowledgeGraph	inferred			https://creativecommons.org/licenses/by/4.0/	permissive	chebi|dc|mesh|skos	chemont|cito|fabio
gene-expression-atlas-okn	KnowledgeGraph	inferred			https://creativecommons.org/licenses/by/4.0/	permissive	expression-atlas	
gene-expression-omnibus	Aggregator	no-upstream						
genecards	Aggregator	conflict	https://www.lifemapsc.com/genecards-suite-terms-of-use/	non-commercial	https://www.alliancegenome.org/privacy-warranty-licensing	custom	alliance|biocyc|cosmic|ctd|disgenet|gtex|iid|innatedb|medgen|omim|snomedct|umls	5srrnadb|aminode|biogps|bitterdb|cdd|dbsuper|dgv|ena|epd|fabric|gard|geneorganizer|genomernai|gtrnadb|icd10|icd11|lncbase|lncbook|lncrnadisease|malacards|medlineplus|mirgenedb|mirtarbase|modomics|panther|paxdb|pdb|pid|pirsf|proteomicsdb|proteopedia|refseq|rgd|scop|sfld|silva|simap|smart|snodb|snopy|srpdb|tair|tarbase|treefam|ucnebase|vista
genetics-kp	KnowledgeGraph	unresolved						
geneticskp	KnowledgeGraph	inferred			https://opensource.org/license/mit/	permissive	translator	
genomickb	KnowledgeGraph	conflict	https://available-inventions.umich.edu/product/genomickb-a-knowledgebase-for-the-human-genome#modal-licence-preview	non-commercial	https://data.4dnucleome.org/help/user-guide/faq#downloading-and-using-data-from-the-4dn-data-portal	custom	4dn|gtex	ccre|dbsuper|dbvar|dgv|endb|enhanceratlas|epd|fire|motifmap
genophenoenvo-kg	KnowledgeGraph	declared	https://opensource.org/licenses/BSD-3-Clause	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	go|peco|po|to	tair
geoconnex	KnowledgeGraph	declared	https://creativecommons.org/publicdomain/zero/1.0/	public domain	U.S. federal government public domain	public domain	usgs-nhd|usgs-nwis	
globi	KnowledgeGraph	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
gnbr	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed|pubtator	
gp-kg	KnowledgeGraph	inferred			https://www.ebi.ac.uk/about/terms-of-use	custom	goa|gtex|omim|umls	faers|phenomebrowser|treatkb
gtrx	Aggregator	inferred			https://opensource.org/licenses/Apache-2.0	permissive	biothings	
hald	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed	
harmonizome	Aggregator	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://depmap.org/portal/terms/	custom	achilles|cmap|cosmic|ctd|depmap|disgenet|gtex|kegg|msigdb|omim	biogps|cellmarker|impc|lincs-l1000|mirtarbase|panther|phosphositeplus|pid|tcga
hetionet	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://uts.nlm.nih.gov/uts/	custom	umls	pid
hmdb	Aggregator	no-upstream	https://www.hmdb.ca/downloads	non-commercial				
hpa	Aggregator	no-upstream	https://creativecommons.org/licenses/by-sa/4.0/	copyleft				
hprd	Aggregator	no-upstream	https://creativecommons.org/licenses/by/3.0/	permissive				
hra-kg	KnowledgeGraph	declared	http://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	ccf|cl|fma|hravs|lmha|pcl|uberon|vccf	
hubmap	Aggregator	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	hra	
hydrologykg	KnowledgeGraph	inferred			U.S. federal government public domain	public domain	sawgraph|usgs-nhd	
